,month,M,YieldBruto,Net Hazard Rate AMI,ZSpread,SecurityID,y,RankID1,x
186,2019-10,5.0,1.206843,2.5259454545454547,1.99747,1260603,0.22321723191245757,5.0,6.0
187,2019-11,5.0,1.035534,2.521170909090909,1.932694,1260397,0.22284626489610648,5.0,8.0
188,2019-11,5.0,0.3789386,1.1554581818181817,1.181552,1260546,0.10912024718854307,5.0,2.0
189,2019-11,5.0,1.120437,2.236178181818182,1.775948,1260603,0.20037932353668386,5.0,1.0
190,2019-12,5.0,1.12976,2.2589599999999996,1.859978,1260603,0.2021989313375434,5.0,1.0
191,2019-12,5.0,0.3054825,1.0083527272727275,1.172144,1260546,0.09591805242608209,5.0,2.0
192,2019-12,5.0,0.3052527,1.1656181818181819,1.25864,1260397,0.11002492136509656,5.0,8.0
193,2020-01,5.0,1.142209,2.327841818181818,1.947913,1260603,0.20767544688213835,5.0,6.0
194,2020-01,5.0,0.2588556,0.9341981818181817,1.181409,1260546,0.08918895501597424,5.0,4.0
195,2020-01,5.0,0.8718585,2.1783963636363635,1.865718,1260397,0.19574559551332515,5.0,4.0
196,2020-02,5.0,1.225566,2.9190199999999997,2.163611,1260603,0.25315827712401784,5.0,6.0
197,2020-02,5.0,0.3257479,1.500330909090909,1.383332,1260546,0.13932050471310786,5.0,8.0
198,2020-02,5.0,0.9197434,2.890018181818182,2.14766,1260397,0.25098915643646613,5.0,2.0
199,2020-02,5.0,1.465256,3.085556363636363,2.255206,1260736,0.2654929142409661,5.0,1.0
200,2020-03,5.0,3.66939,7.073556363636364,4.433206,1260736,0.5070539960349401,5.0,1.0
201,2020-03,5.0,2.389805,5.130972727272726,3.364785,1260546,0.40136144243166205,5.0,2.0
202,2020-03,5.0,-0.8630716,0.0,0.1562078,1260397,0.0,5.0,8.0
203,2020-03,5.0,3.937973,7.803874545454546,4.834881,1260603,0.5417715657837737,5.0,6.0
204,2020-04,5.0,3.417853,4.701203636363636,3.335762,1260736,0.3750729547358964,5.0,4.0
205,2020-04,5.0,2.537967,3.2613181818181816,2.543825,1260546,0.27828995334493845,5.0,4.0
206,2020-04,5.0,2.473082,3.172087272727272,2.494748,1260397,0.2718212515019427,5.0,6.0
207,2020-04,5.0,2.8085,3.697936363636363,2.783965,1260603,0.30912311220561306,5.0,8.0
208,2020-05,5.0,3.095731,4.957947272727273,3.508871,1260736,0.3909133428794821,5.0,2.0
209,2020-05,5.0,2.36852,3.847618181818181,2.89819,1260546,0.31938727352298646,5.0,1.0
210,2020-05,5.0,0.6248913,0.7138145454545456,1.174598,1260397,0.06889335048631517,5.0,1.0
211,2020-05,5.0,3.042819,5.002258181818181,3.533242,1260603,0.3936062904746567,5.0,2.0
212,2020-06,5.0,3.813222,6.496054545454545,4.36308,1260397,0.4777482118129348,5.0,8.0
213,2020-06,5.0,7.123682,12.412085454545455,7.616897,1260603,0.7109653047925603,5.0,6.0
214,2020-06,5.0,6.401825,11.168014545454545,6.932658,1260546,0.6726749138078316,5.0,4.0
215,2020-06,5.0,5.342595,9.040750909090908,5.762663,1260736,0.595083777342378,5.0,1.0
216,2020-07,5.0,5.04724,8.212096363636363,5.468053,1260736,0.5601007855446413,5.0,2.0
217,2020-07,5.0,3.116107,4.935787272727271,3.666083,1260397,0.3895621102344854,5.0,8.0
218,2020-07,5.0,4.592649,7.586665454545454,5.124066,1260546,0.5317095451032923,5.0,6.0
219,2020-07,5.0,6.129276,10.312990909090908,6.623545,1260603,0.6434565228091059,5.0,4.0
220,2020-08,5.0,3.625273,6.250930909090909,4.214512,1260736,0.46478839713479814,5.0,4.0
221,2020-08,5.0,2.086768,3.7302,2.82811,1260397,0.311348540322969,5.0,6.0
222,2020-08,5.0,3.731806,6.6830490909090905,4.452177,1260546,0.4874232940849669,5.0,8.0
223,2020-08,5.0,4.18267,7.424403636363636,4.859922,1260603,0.5240489963877077,5.0,1.0
224,2020-09,5.0,4.54457,8.124612727272728,5.223587,1260603,0.5562355044630499,5.0,1.0
225,2020-09,5.0,4.898951,8.845849090909091,5.620267,1260546,0.5871144772592276,5.0,1.0
226,2020-09,5.0,1.278506,2.29974,2.019907,1260397,0.2054457393544462,5.0,1.0
227,2020-09,5.0,4.298474,7.520274545454545,4.891201,1260736,0.5285901787808982,5.0,8.0
228,2020-10,5.0,4.827674,8.617916363636363,5.423404,1260736,0.5775953914952081,5.0,6.0
229,2020-10,5.0,3.21656,5.953523636363635,3.957988,1260397,0.44863175048654225,5.0,4.0
230,2020-10,5.0,4.649361,8.523703636363635,5.371587,1260546,0.5735969970699252,5.0,4.0
231,2020-10,5.0,4.555696,8.277687272727274,5.236278,1260603,0.5629766825376961,5.0,6.0
232,2020-11,4.0,0.8358992,1.3757854545454544,1.489182,1260769,0.12853410237616802,4.0,8.0
233,2020-11,5.0,3.210441,5.584441818181817,3.803943,1260736,0.4279015470195413,5.0,1.0
234,2020-11,5.0,3.346625,6.101027272727273,4.088065,1260397,0.4567049450115508,5.0,1.0
235,2020-11,5.0,3.461541,6.27663818181818,4.184651,1260546,0.4661625132033841,5.0,1.0
236,2020-11,5.0,3.620005,6.489925454545454,4.301959,1260603,0.4774280208302528,5.0,1.0
237,2020-12,5.0,3.468878,6.059203636363636,4.210262,1260397,0.45442792919483566,5.0,8.0
238,2020-12,5.0,3.2341,5.526998181818182,3.917549,1260603,0.4246057483997616,5.0,6.0
239,2020-12,5.0,3.024509,5.219681818181817,3.748525,1260546,0.4066484258090286,5.0,4.0
240,2020-12,5.0,3.568877,5.976932727272726,4.165013,1260736,0.4499209439032563,5.0,4.0
241,2020-12,4.0,0.4926825,0.4913236363636365,1.147928,1260769,0.047944896117497304,4.0,6.0
242,2016-06,,11.17523,18.288054545454543,11.15118,1380104,0.839394696430833,,8.0
243,2018-01,,9.705913,16.289381818181816,9.62016,1380104,0.803862273798655,,1.0
244,2018-03,,9.649273,16.330161818181818,9.544689,1380104,0.8046604947673426,,1.0
245,2018-05,,8.771132,14.453976363636363,8.627737,1380104,0.7643476460217723,,1.0
246,2018-06,,8.652558,14.704303636363637,8.517367,1380104,0.7701734450916496,,1.0
247,2018-07,,8.546144,14.232950909090908,8.304873,1380104,0.7590811419827815,,8.0
248,2018-10,,10.43645,17.17058181818182,10.04817,1380104,0.8204062964328913,,6.0
249,2018-11,,11.57003,18.922363636363634,10.9242,1380104,0.8492656651654462,,4.0
250,2018-12,,12.09356,20.030890909090907,11.52234,1380104,0.865082134703597,,4.0
251,2019-01,,12.48759,20.735781818181813,12.12783,1380104,0.874264927124818,,6.0
252,2019-02,,12.07511,19.99290909090909,11.86555,1380104,0.8645687177123602,,8.0
253,2019-03,,12.44448,21.249745454545454,12.53261,1380104,0.8805639915826682,,1.0
254,2019-04,,12.1643,21.091145454545455,12.32218,1380104,0.878654635317041,,1.0
255,2019-05,,12.43263,22.103472727272727,12.72056,1380104,0.8903374409137894,,1.0
256,2019-06,,13.37796,23.72454545454545,13.671,1380104,0.9067484450429436,,1.0
257,2019-07,,14.9451,27.20821818181818,15.50232,1380104,0.9341793604051855,,8.0
258,2020-01,,14.63647,27.367545454545454,15.48215,1380104,0.9352197525538934,,6.0
259,2020-09,,14.82089,26.947872727272724,15.49168,1380104,0.9324432485907547,,4.0
260,2020-10,,14.51126,26.004436363636362,15.18234,1380104,0.9257593649378889,,4.0
261,2020-11,,14.44005,26.370981818181814,15.11389,1380104,0.9284313522727841,,6.0
262,2020-12,,14.01589,25.619709090909087,14.69079,1380104,0.9228474701265408,,8.0
263,2016-02,6.0,2.613867,3.575090909090909,2.3963,1610153,0.3005836594165414,6.0,1.0
264,2016-03,6.0,0.493034,0.8165732727272728,0.8791153,1610153,0.07841229243283132,6.0,1.0
265,2016-04,6.0,-0.6551659,0.0,0.07774041,1610153,0.0,6.0,1.0
266,2016-05,6.0,0.6824116,0.9837650909090908,0.9710708,1610153,0.09369239354580527,6.0,1.0
267,2016-06,6.0,-0.3483309,0.0,-0.2364723,1610153,0.0,6.0,8.0
268,2016-07,6.0,-0.1498842,0.0,0.02491195,1610153,0.0,6.0,6.0
269,2016-02,8.0,4.271125,6.552923636363635,4.034108,1820190,0.48070978118536967,8.0,4.0
270,2016-02,8.0,3.588024,4.993016363636364,3.176159,1820174,0.3930456133897765,8.0,4.0
271,2016-03,8.0,2.987076,3.718661818181818,2.475264,1820174,0.31055350317190034,8.0,6.0
272,2016-03,8.0,3.826592,5.482816363636363,3.445549,1820190,0.42205792775615714,8.0,8.0
273,2016-04,8.0,2.7394,3.675698181818181,2.451634,1820174,0.307585018034116,8.0,1.0
274,2016-04,8.0,3.691686,5.647885454545454,3.536337,1820190,0.4315196581985261,8.0,1.0
275,2016-05,8.0,3.620866,5.31166909090909,3.351418,1820190,0.41208147822267527,8.0,1.0
276,2016-05,8.0,2.702977,3.3310472727272726,2.262076,1820174,0.28330486730134774,8.0,1.0
